nome,ano,nota,votos,descricao,generos
88. BioShock Infinite,2013,9.1,(23K),"A man is sent to the flying city of Columbia to find a missing girl. However, upon arrival he discovers that the city, its people, and his objective are all not what they seem.","['Action', 'Adventure', 'Drama']"
89. BioShock,2007,9.1,(23K),"In 1960, a lone survivor of a plane crash named Jack discovers an abandoned underwater utopia, only to find out that the mystery behind its creation is much more sinister than he first believed.","['Action', 'Adventure', 'Horror']"
90. Mass Effect 3,2012,9.1,(18K),"Earth is under attack by a monstrous race of gigantic living ships known as the Reapers. Even if Commander Shepard could unite all surviving species in the galaxy, only a miracle could save them. Then again, Shepard did come back from the dead.","['Action', 'Adventure', 'Comedy']"
91. Disco Elysium,2019,9.1,(1.8K),You're a detective tasked with solving a murder in the strange world of Elysium. Utilize a new and innovative skill system to be the detective you want to be. Become a hero or an absolute disaster of a human being.,"['Comedy', 'Crime', 'Drama']"
92. Final Fantasy X,2001,9.1,(8.8K),A celebrated young athlete is drawn from his futuristic hometown and convenient lifestyle to a harsh and techno-phobic land by a mysterious force only known as Sin.,"['Adventure', 'Fantasy', 'Romance']"
93. Kingdom Hearts,2002,9.1,(8.2K),"When his world is destroyed and his friends mysteriously disappear, a young boy named Sora is thrust into a quest to find his missing friends and prevent the armies of darkness from destroying many other worlds.","['Action', 'Adventure', 'Family']"
94. Dragon Age: Origins,2009,9.1,(9.1K),"After four hundred years since the last Blight, a new Archdemon seeks to destroy the land of Ferelden. It is up to the player - as one of the remaining Grey Wardens - to unite the divided armies of Ferelden and save humanity.","['Action', 'Adventure', 'Fantasy']"
95. Max Payne 2: The Fall of Max Payne,2003,9.1,(12K),"The brooding cop has left the DEA and returned to the NYPD. When his latest case ends up involving the thought-dead femme fatale Mona Sax, he finds that his journey through the night is far from over.","['Action', 'Crime', 'Drama']"
96. Dark Souls III,2016,9.1,(6.8K),"The fire is fading. Darkness creeps across the land. The Lords of Cinder charged with watching over the First Flame have abandoned their thrones. The Champion of Ash, an undead is chosen to return them to their thrones.","['Action', 'Adventure', 'Fantasy']"
97. Mafia: The City of Lost Heaven,2002,9.1,(6.8K),You play a 1930s mobster as you act out your confession of your rise in the ranks of organized crime.,"['Action', 'Crime', 'Drama']"
